,R0000100,raceparent,sexparent,sociabilitypchild,sociabilitypadult,rosenbergscore87parent,rosenbergscore06parent,rotterscale14parent,riskaversionparent,riskinfinancialmattersparent,riskinoccupationparent,riskwithhealthparent,riskinmajorlifechangesparent,rotterscale16parent,rotterscale18parent,gradeattendedparent,gradecompletedparent,C0000100,C0000200,race,sex,dob,yadultid,jobdissatisfaction1,jobdissatisfaction2,jobdissatisfaction3,jobdissatisfaction4,jobdissatisfaction5,incomewages,incomewages1,incomebus,incomewagesafterexp,Y4562700,pearlin1,pearlin2,pearlin3,pearlin4,pearlin5,pearlin6,pearlin7,selfestm1,selfestm2,selfestm3,selfestm4,selfestm5,selfestm6,selfestm7,selfestm8,selfestm9,selfestm10,newexperience,cesd1,cesd2,cesd3,cesd4,cesd5,cesd6,cesd7,cesd8,cesd9,cesd10,cesd11,famatt1,famatt2,famatt3,famatt4,famatt5,famatt6,famatt7,famatt8,famatt9,famatt10,famatt11,famatt12,newexperiencecmplx,reasonsforexperience,age,Self-Esteem,Pearlin,sex_2,race_2,race_3
1712,1818,1,2,3,3,21.0,21.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,181801,1818,1,2,1978,181801,1.0,-7,-7,-7,-7,50000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,1,0,1,3,3,0,1,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,42,28.0,16.0,1,0,0
1716,1825,1,2,2,3,17.0,18.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,182501,1825,1,1,1974,182501,2.0,1,-7,-7,-7,32000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,46,28.0,16.0,0,0,0
1717,1825,1,2,2,3,17.0,18.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,182502,1825,1,2,1975,182502,1.0,-7,-7,-7,-7,26500,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,45,28.0,16.0,1,0,0
1719,1825,1,2,2,3,17.0,18.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,182504,1825,1,1,1978,182504,3.0,-7,-7,-7,-7,19000,-7,-7,31000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,3,1,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,42,28.0,16.0,0,0,0
1722,1828,3,2,4,4,25.0,30.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,182801,1828,3,1,1982,182801,1.0,4,1,-7,-7,6000,-7,-7,-2,-7,2.0,1.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,2,4,2,3,1,2,2,1,3,6,1,38,32.0,15.0,0,0,1
1726,1829,2,2,2,4,29.0,28.0,15,-4,-4,-4,-4,-4,-4,-4,-4,-4,182904,1829,2,2,1998,182904,1.0,3,-7,-7,-7,-2,3,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,3,3,3,3,2,3,1,3,2,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,23,28.0,16.0,1,1,0
1732,1833,1,2,1,4,19.0,21.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,183301,1833,1,2,1975,183301,1.0,-7,-7,-7,-7,35000,-7,-7,60000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,45,28.0,16.0,1,0,0
1734,1833,1,2,1,4,19.0,21.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,183303,1833,1,2,1983,183303,3.0,-7,-7,-7,-7,24000,-7,-7,-2,-7,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,2,3,2,3,2,3,3,2,3,7,1,37,27.0,17.0,1,0,0
1740,1838,1,2,3,3,19.0,24.0,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,183803,1838,1,2,1987,183803,1.0,-7,-7,-7,-7,1000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,3,2,3,2,3,3,2,2,-7,-7,32,27.0,16.0,1,0,0
1744,1842,3,2,3,3,20.0,25.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,184201,1842,3,2,1994,184201,2.0,1,3,-7,-7,25000,-7,-7,0,-7,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,2,1,3,1,4,1,3,2,1,3,6,-7,26,28.0,17.0,1,0,1
1746,1844,3,2,2,3,28.0,28.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,184402,1844,3,2,1983,184402,1.0,-7,-7,-7,-7,750,-7,-7,225974,-7,3.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,2,1,4,1,1,2,1,2,5,2,37,30.0,17.0,1,0,1
1748,1844,3,2,2,3,28.0,28.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,184404,1844,3,2,1986,184404,2.0,-7,-7,-7,-7,0,-7,-7,0,185000,2.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,3,2,3,2,3,3,3,3,3,1,2,-7,-7,34,27.0,16.0,1,0,1
1753,1848,1,2,1,4,30.0,27.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,184802,1848,1,1,1987,184802,2.0,2,-7,-7,-7,113000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,1,1,3,1,4,1,4,1,4,1,1,4,-7,9,33,28.0,16.0,0,0,0
1754,1849,3,2,2,3,24.0,24.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,184901,1849,3,2,1997,184901,2.0,1,-7,-7,-7,0,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4,0,1,1,0,3,1,3,0,0,0,0,1,2,2,2,3,1,4,2,4,2,1,3,-7,-7,22,27.0,16.0,1,0,1
1759,1853,3,2,3,3,27.0,20.0,5,-4,-4,-4,-4,-4,-5,-5,-4,-4,185303,1853,3,1,1992,185303,1.0,-7,-7,-7,-7,84000,-7,-7,35000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,0,0,1
1762,1858,3,2,3,3,28.0,26.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,185801,1858,3,2,1983,185801,2.0,3,4,-7,-7,204398,-7,-7,0,-7,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,2,1,3,1,3,2,2,3,1,3,7,2,37,26.0,14.0,1,0,1
1763,1858,3,2,3,3,28.0,26.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,185802,1858,3,1,1987,185802,1.0,-7,-7,-7,-7,204398,-7,-7,50000,-7,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,2,3,1,4,2,3,3,1,3,-7,9,33,29.0,11.0,0,0,1
1764,1862,3,2,4,3,20.0,30.0,6,-4,-4,-4,-4,-4,-4,-4,-5,-5,186201,1862,3,1,1979,186201,2.0,3,-7,-7,-7,82000,-7,-7,38000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,3,3,3,0,0,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-2,41,28.0,16.0,0,0,1
1767,1862,3,2,4,3,20.0,30.0,6,-4,-4,-4,-4,-4,-4,-4,-5,-5,186204,1862,3,1,1983,186204,2.0,2,-7,-7,-7,48500,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,4,3,3,2,3,3,4,4,1,3,5,9,37,32.0,13.0,0,0,1
1769,1863,3,2,2,2,20.0,27.0,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,186301,1863,3,2,1987,186301,2.0,3,2,-7,-7,-1,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,2,3,2,3,2,3,3,1,3,-7,-2,33,27.0,16.0,1,0,1
1770,1863,3,2,2,2,20.0,27.0,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,186302,1863,3,1,1990,186302,1.0,-7,-7,-7,-7,40000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,1,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,30,28.0,16.0,0,0,1
1771,1863,3,2,2,2,20.0,27.0,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,186303,1863,3,2,1995,186303,1.0,-7,-7,-7,-7,43500,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,-2,1,3,1,4,2,3,3,2,3,6,-7,25,34.0,13.0,1,0,1
1773,1866,3,2,3,3,21.0,20.0,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,186601,1866,3,2,1987,186601,1.0,-7,-7,-7,-7,40000,-7,-7,0,-7,2.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,4,1,4,1,1,1,1,3,-7,9,33,33.0,15.0,1,0,1
1778,1876,3,2,1,4,26.0,18.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,187602,1876,3,2,1978,187602,1.0,-7,-7,-7,-7,35000,-7,15000,225974,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,41,28.0,16.0,1,0,1
1779,1876,3,2,1,4,26.0,18.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,187603,1876,3,1,1983,187603,2.0,-7,-7,-7,-7,68000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,2,3,2,3,2,3,2,2,3,6,-2,37,27.0,16.0,0,0,1
1780,1878,3,2,1,2,25.0,20.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,187801,1878,3,1,1978,187801,2.0,2,-7,-7,-7,40000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,42,28.0,16.0,0,0,1
1784,1880,3,2,2,3,27.0,26.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,188002,1880,3,1,1992,188002,1.0,2,-7,-7,-7,32000,-7,-7,35000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,0,0,1
1785,1885,3,2,2,2,28.0,20.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,188501,1885,3,2,1992,188501,2.0,-7,-7,-7,-7,58000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,1,0,1
1786,1885,3,2,2,2,28.0,20.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,188502,1885,3,1,1997,188502,1.0,2,-7,-7,-7,18000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3,2,0,2,0,1,1,3,0,0,0,0,1,2,3,1,3,1,4,2,3,2,1,4,-7,-7,23,30.0,17.0,0,0,1
1795,1900,3,2,3,3,24.0,24.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,190002,1900,3,2,1982,190002,2.0,-7,-7,-7,-7,48000,-7,-7,70000,-7,2.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,2,1,2,1,4,2,2,2,1,3,7,8,39,32.0,14.0,1,0,1
1796,1900,3,2,3,3,24.0,24.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,190003,1900,3,1,1987,190003,1.0,-7,-7,-7,-7,96000,-7,-7,73000,-7,1.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,1,3,2,3,2,3,3,2,3,-7,-7,33,31.0,12.0,0,0,1
1797,1902,3,2,3,3,-3.0,16.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,190201,1902,3,2,1993,190201,1.0,-7,-7,-7,-7,-2,3,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,1,0,1
1802,1905,3,2,4,3,24.0,19.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,190501,1905,3,2,1993,190501,2.0,-7,-7,-7,-7,97000,-7,-7,40000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,1,0,1
1803,1905,3,2,4,3,24.0,19.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,190502,1905,3,1,1995,190502,1.0,-7,-7,-7,-7,-2,4,-7,-7,-7,2.0,3.0,2.0,4.0,1.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,3,2,3,1,4,3,3,2,1,4,7,-7,25,27.0,18.0,0,0,1
1804,1905,3,2,4,3,24.0,19.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,190503,1905,3,2,1998,190503,2.0,1,-7,-7,-7,2000,-7,-7,-2,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,0,2,0,0,2,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,22,28.0,16.0,1,0,1
1805,1905,3,2,4,3,24.0,19.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,190504,1905,3,2,1998,190504,1.0,2,-7,-7,-7,6000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,1,0,0,0,0,0,2,0,2,2,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,22,28.0,16.0,1,0,1
1806,1906,3,2,3,4,26.0,20.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,190601,1906,3,2,1999,190601,2.0,-7,-7,-7,-7,20000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,8,21,28.0,16.0,1,0,1
1807,1906,3,2,3,4,26.0,20.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,190602,1906,3,1,2001,190602,1.0,-7,-7,-7,-7,0,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,2,2,2,2,2,0,3,0,2,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,19,28.0,16.0,0,0,1
1808,1906,3,2,3,4,26.0,20.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,190603,1906,3,2,2001,190603,1.0,-7,-7,-7,-7,2000,-7,1000,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,2,0,1,0,1,0,0,3,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,19,28.0,16.0,1,0,1
1809,1906,3,2,3,4,26.0,20.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,190604,1906,3,2,2001,190604,2.0,-7,-7,-7,-7,-2,1,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,19,28.0,16.0,1,0,1
1812,1912,3,2,-5,-5,23.0,30.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,191202,1912,3,1,1994,191202,2.0,-7,-7,-7,-7,90000,-7,-7,-7,-7,2.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,2,2,3,2,4,2,2,2,1,3,6,-7,26,32.0,13.0,0,0,1
1813,1915,3,2,2,3,24.0,21.0,-5,-5,-5,-5,-5,-5,9,-4,-4,-4,191501,1915,3,1,2001,191501,2.0,-7,-7,-7,-7,12000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,2,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,19,28.0,16.0,0,0,1
1816,1926,3,2,2,2,24.0,24.0,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,192601,1926,3,2,1986,192601,2.0,-7,-7,-7,-7,36000,-7,-7,75000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,1,3,0,0,0,0,2,3,2,2,3,2,3,2,2,2,1,3,-7,9,35,28.0,16.0,1,0,1
1819,1927,3,2,1,3,27.0,25.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,192702,1927,3,1,1986,192702,2.0,-7,-7,-7,-7,204398,-7,-7,105000,-7,1.0,1.0,2.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,4,2,3,2,2,2,1,3,-7,-7,34,31.0,14.0,0,0,1
1820,1927,3,2,1,3,27.0,25.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,192703,1927,3,2,1990,192703,2.0,-7,-7,-7,-7,38480,-7,-7,78000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,1,1,0,0,1,0,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,30,28.0,16.0,1,0,1
1821,1927,3,2,1,3,27.0,25.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,192704,1927,3,1,1993,192704,2.0,-7,-7,-7,-7,40000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,0,0,1
1823,1928,3,2,2,3,23.0,26.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,192802,1928,3,1,1979,192802,2.0,-7,-7,-7,-7,49000,-7,-7,0,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,1,1,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,41,28.0,16.0,0,0,1
1825,1932,3,2,2,4,21.0,21.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,193201,1932,3,2,1999,193201,2.0,4,-7,-7,-7,40000,-7,-7,-7,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,2,3,0,2,3,2,2,2,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,21,28.0,16.0,1,0,1
1832,1935,3,2,2,3,29.0,22.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,193502,1935,3,1,1991,193502,2.0,-7,-7,-7,-7,65000,-7,-7,65000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,0,0,0,0,0,0,3,1,0,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,29,28.0,16.0,0,0,1
1837,1937,3,2,1,3,24.0,30.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,193703,1937,3,2,1992,193703,1.0,2,-7,-7,-7,42000,-7,1000,45000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28,28.0,16.0,1,0,1
1838,1938,3,2,3,3,26.0,24.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,193801,1938,3,1,1987,193801,2.0,3,-7,-7,-7,204398,-7,-7,3000,-7,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,2,1,4,2,2,3,1,3,-7,9,33,36.0,11.0,0,0,1
1840,1938,3,2,3,3,26.0,24.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,193803,1938,3,2,1993,193803,1.0,3,-7,-7,-7,35000,-7,-7,55000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27,28.0,16.0,1,0,1
1841,1940,3,2,3,4,18.0,16.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,194001,1940,3,2,1986,194001,1.0,-7,-7,-7,-7,-2,1,-7,-7,-7,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,2,2,2,3,3,3,3,3,3,2,1,-7,-7,33,26.0,15.0,1,0,1
1843,1948,3,2,2,2,20.0,22.0,-3,-4,-4,-4,-4,-4,-5,-5,-5,-5,194801,1948,3,2,1997,194801,1.0,-7,-7,-7,-7,12000,-7,-7,-7,-7,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3,0,3,3,3,3,0,1,1,3,1,1,1,1,1,1,4,1,4,1,3,2,1,3,-7,-7,23,17.0,19.0,1,0,1
