,R0000100,raceparent,sexparent,sociabilitypchild,sociabilitypadult,rosenbergscore87parent,rosenbergscore06parent,rotterscale14parent,riskaversionparent,riskinfinancialmattersparent,riskinoccupationparent,riskwithhealthparent,riskinmajorlifechangesparent,rotterscale16parent,rotterscale18parent,gradeattendedparent,gradecompletedparent,C0000100,C0000200,race,sex,dob,yadultid,jobsatisfaction1,jobsatisfaction2,jobsatisfaction3,jobsatisfaction4,jobsatisfaction5,incomewages,incomewages1,incomebus,incomewagesafterexp,Y4562700,pearlin1,pearlin2,pearlin3,pearlin4,pearlin5,pearlin6,pearlin7,selfestm1,selfestm2,selfestm3,selfestm4,selfestm5,selfestm6,selfestm7,selfestm8,selfestm9,selfestm10,newexperience,cesd1,cesd2,cesd3,cesd4,cesd5,cesd6,cesd7,cesd8,cesd9,cesd10,cesd11,famatt1,famatt2,famatt3,famatt4,famatt5,famatt6,famatt7,famatt8,famatt9,famatt10,famatt11,famatt12,newexperiencecmplx,reasonsforexperience,age
1316,1410,3,2,2,2,22,20,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,141002,1410,3,2,1991,141002,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1317,1411,3,2,3,3,20,12,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,141101,1411,3,1,1983,141101,3,3,-7,-7,-7,40000,-7,-7,-7,-7,2,2,2,3,2,3,2,4,4,1,4,1,3,3,2,2,2,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,3,2,2,2,3,3,1,3,6,-7,37
1318,1412,3,2,2,3,20,18,4,-4,-4,-4,-4,-4,-4,-4,-5,-5,141201,1412,3,1,1982,141201,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1319,1414,1,2,4,3,17,15,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,141401,1414,1,1,1976,141401,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1320,1414,1,2,4,3,17,15,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,141402,1414,1,2,1977,141402,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1321,1414,1,2,4,3,17,15,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,141403,1414,1,2,1981,141403,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1322,1414,1,2,4,3,17,15,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,141404,1414,1,2,1983,141404,1,-7,-7,-7,-7,10000,-7,-7,56000,-7,2,2,2,3,2,3,2,3,4,1,3,1,3,3,2,2,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,4,2,3,2,3,3,1,3,6,-2,37
1323,1414,1,2,4,3,17,15,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,141405,1414,1,1,1984,141405,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1324,1415,1,2,1,4,21,12,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,141501,1415,1,1,1977,141501,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1325,1415,1,2,1,4,21,12,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,141502,1415,1,2,1979,141502,1,2,-7,-7,-7,-2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-2,41
1326,1415,1,2,1,4,21,12,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,141503,1415,1,2,1981,141503,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1327,1415,1,2,1,4,21,12,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,141504,1415,1,1,1982,141504,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1328,1415,1,2,1,4,21,12,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,141505,1415,1,1,1983,141505,1,-7,-7,-7,-7,40000,-7,-7,20000,-7,3,3,3,3,2,3,3,2,3,1,3,3,4,3,3,2,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,3,3,2,3,3,3,3,2,3,7,9,37
1329,1415,1,2,1,4,21,12,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,141506,1415,1,1,1984,141506,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1330,1415,1,2,1,4,21,12,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,141507,1415,1,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1331,1416,3,2,1,2,22,20,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,141601,1416,3,1,1979,141601,1,1,-7,-7,-7,25000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,0,0,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,42
1332,1416,3,2,1,2,22,20,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,141602,1416,3,1,1981,141602,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1333,1416,3,2,1,2,22,20,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,141603,1416,3,1,1982,141603,1,1,-7,-7,-7,60000,-7,-7,0,-7,3,2,2,3,2,3,2,4,4,2,4,2,4,4,2,2,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,4,2,3,2,3,3,3,3,4,2,3,7,3,38
1334,1419,1,2,3,3,25,23,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,141901,1419,1,2,1980,141901,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1335,1419,1,2,3,3,25,23,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,141902,1419,1,1,1983,141902,2,1,3,-7,-7,73000,-7,-7,-7,-7,2,1,3,3,1,3,1,4,3,1,4,1,4,4,1,1,1,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,4,1,4,1,4,4,1,3,7,9,37
1336,1421,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,142101,1421,3,2,1984,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1337,1421,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,142102,1421,3,2,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1338,1423,3,2,3,3,27,28,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,142301,1423,3,1,1978,142301,1,1,3,2,1,204398,-7,8000,45000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,1,0,1,1,1,1,0,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,43
1339,1423,3,2,3,3,27,28,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,142302,1423,3,1,1979,142302,2,3,-7,-7,-7,15000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,1,0,2,2,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,41
1340,1423,3,2,3,3,27,28,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,142303,1423,3,2,1981,142303,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1341,1423,3,2,3,3,27,28,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,142304,1423,3,2,1983,142304,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1342,1423,3,2,3,3,27,28,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,142305,1423,3,1,1987,142305,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1343,1426,3,2,2,3,26,30,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,142601,1426,3,2,1998,142601,1,1,-7,-7,-7,700,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,1,3,0,1,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,22
1344,1435,2,2,3,3,20,22,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,143501,1435,2,2,1986,143501,2,4,-7,-7,-7,-1,-7,-7,-7,-7,4,2,1,3,3,3,1,3,3,1,3,1,3,1,1,2,1,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,3,2,4,2,3,2,2,3,-7,9,34
1345,1435,2,2,3,3,20,22,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,143502,1435,2,1,1988,143502,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1346,1435,2,2,3,3,20,22,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,143503,1435,2,1,1989,143503,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1347,1436,2,2,2,2,20,19,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,143601,1436,2,2,1983,143601,1,1,-7,-7,-7,14000,-7,-7,-7,-7,4,4,3,3,2,4,2,4,4,1,4,1,4,3,4,1,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,2,2,3,2,3,3,2,2,1,9,37
1348,1436,2,2,2,2,20,19,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,143602,1436,2,2,1986,143602,1,2,3,-7,-7,13000,-7,-7,20000,-7,1,1,3,4,1,3,2,4,4,2,4,2,3,3,2,2,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,4,2,4,2,3,2,1,3,-7,-2,34
1349,1436,2,2,2,2,20,19,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,143603,1436,2,1,1987,143603,1,-7,-7,-7,-7,59000,-7,3000,-2,-2,1,1,1,4,1,4,1,3,3,2,3,2,4,4,2,2,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,4,2,2,2,3,3,3,2,2,3,-7,3,32
1350,1437,2,2,2,3,27,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,143701,1437,2,1,1983,143701,-7,-7,-7,-7,-7,6000,-7,-7,-2,-7,1,2,2,3,2,3,3,3,3,2,3,2,3,3,2,2,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,2,3,2,3,2,3,3,2,3,4,9,38
1351,1437,2,2,2,3,27,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,143702,1437,2,2,1985,143702,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1352,1437,2,2,2,3,27,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,143703,1437,2,2,1986,143703,1,4,-7,-7,-7,29500,-7,-7,100000,-7,1,1,1,4,1,3,2,3,4,2,3,2,3,3,2,1,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,2,2,2,2,3,2,3,2,1,2,-7,9,34
1353,1438,2,2,3,3,25,20,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,143801,1438,2,2,1977,143801,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1354,1438,2,2,3,3,25,20,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,143802,1438,2,2,1985,143802,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1355,1438,2,2,3,3,25,20,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,143803,1438,2,1,1989,143803,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1356,1439,2,2,3,3,22,17,10,-4,-4,-4,-4,-4,-4,-5,-4,-4,143901,1439,2,1,1991,143901,-7,-7,-7,-7,-7,0,-7,-7,-2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,0,0,3,0,0,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,29
1357,1440,2,2,1,2,26,30,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,144001,1440,2,2,1980,144001,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1358,1440,2,2,1,2,26,30,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,144002,1440,2,1,1983,144002,1,2,-7,-7,-7,-1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,1,0,0,0,3,0,0,0,0,2,2,3,2,2,2,3,2,2,3,2,2,7,3,38
1359,1440,2,2,1,2,26,30,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,144003,1440,2,2,1984,144003,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1360,1440,2,2,1,2,26,30,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,144004,1440,2,1,1985,144004,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1361,1442,1,2,3,3,25,19,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,144201,1442,1,2,1986,144201,1,-7,-7,-7,-7,50000,-7,-7,90000,-7,2,1,1,4,1,3,2,3,3,2,3,2,3,3,2,2,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,3,2,3,2,2,2,2,3,-7,9,33
1362,1442,1,2,3,3,25,19,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,144202,1442,1,2,1993,144202,4,-7,-7,-7,-7,-2,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,27
1363,1443,3,2,2,3,24,23,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,144301,1443,3,2,1983,144301,-7,-7,-7,-7,-7,0,-7,-7,85000,20000,2,1,2,3,1,3,2,4,4,1,3,1,3,3,1,2,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,1,2,1,1,1,4,2,1,1,1,1,5,9,37
1364,1443,3,2,2,3,24,23,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,144302,1443,3,2,1985,144302,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1365,1443,3,2,2,3,24,23,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,144303,1443,3,1,2004,144303,1,-7,-7,-7,-7,800,-7,-7,-7,-7,2,1,2,3,2,4,2,2,2,2,3,3,2,2,3,2,2,3,0,0,2,0,1,1,2,0,0,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,-7,16
1366,1446,2,2,3,3,26,27,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,144601,1446,2,1,1983,144601,2,-7,-7,-7,-7,0,-7,-7,57000,-7,1,1,1,4,1,4,1,4,4,1,4,1,4,4,1,1,1,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,1,1,3,1,3,2,2,2,1,3,7,3,37
1367,1446,2,2,3,3,26,27,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,144602,1446,2,1,1989,144602,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1368,1446,2,2,3,3,26,27,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,144603,1446,2,1,1994,144603,2,2,-7,-7,-7,-2,3,-7,-7,-7,2,2,3,3,2,2,2,3,3,2,3,2,3,3,3,3,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,2,2,2,3,2,3,2,2,3,6,-7,27
1369,1451,1,2,2,3,20,23,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,145101,1451,1,2,1979,145101,2,-7,-7,-7,-7,22000,-7,-7,51000,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,3,0,3,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,41
1370,1451,1,2,2,3,20,23,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,145102,1451,1,2,1981,145102,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1371,1451,1,2,2,3,20,23,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,145103,1451,1,2,1992,145103,-7,-7,-7,-7,-7,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,28
1372,1454,1,2,4,3,20,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,145401,1454,1,1,1983,145401,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1373,1454,1,2,4,3,20,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,145402,1454,1,2,1985,145402,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1374,1455,3,2,4,4,23,-3,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,145501,1455,3,2,1973,145501,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1375,1455,3,2,4,4,23,-3,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,145502,1455,3,1,1976,145502,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1376,1455,3,2,4,4,23,-3,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,145503,1455,3,2,1977,145503,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1377,1455,3,2,4,4,23,-3,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,145504,1455,3,2,1978,145504,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1378,1459,3,2,1,2,19,30,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,145901,1459,3,2,1983,145901,1,-7,-7,-7,-7,15000,-7,-7,95000,-7,1,1,1,4,1,4,1,4,4,1,4,1,4,4,1,1,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,1,2,1,2,1,4,1,2,2,1,3,5,-7,37
